Unnamed: 0,Index,NEUE_NAMEN,ADRESSE,Longitude,Latitude,Longitude_SH_autom,Latitude_SH_autom,Longitude_SH_manuell,Longitude_SH_manuell.1,Longitude_GeoHack,Latitude_GeoHack,Long_GoogleMaps,Lat_ GoogleMaps
74,74,Wien,,,,,,,,,,,
75,75,Landstraße,"03., Steingasse 38",16.3925499941631,48.1924250425155,,,,,,,,
77,77,Ungarn,,,,,,,,,,,
78,78,Münzgebäude,"03., Am Heumarkt 1",16.382746,48.203598,,,,,16.382746,48.203598,,
79,79,Neustädter ,,16.349722,48.075278,,,,,16.349722,48.075278,,
80,80,Kanal,,16.349722,48.075278,,,,,,,,
81,81,Stückbohrerei,"03., Linke Bahngasse 9",16.3843746701567,48.2031547717367,,,,,,,,
82,82,Jnvalidenhaus,,16.3865,48.2064,,,,,16.3865,48.2064,,
83,83,Kanalbassin,,,,,,,,,,,
84,84,Stubenthor,"01., Wollzeile 17",16.3762765832983,48.2086227765132,16.37858988,48.20773869,,,,,,
86,86,Ravelin,,,,,,,,,,,
87,87,Hauptmauth,,16.3790598965998,48.2101947670731,,,,,,,,
88,88,Fahrpost,,,,,,,,,,,
89,89,Hauptmauth,"03., Dominikanerbastei 9-13",16.3790598965998,48.2101947670731,,,,,,,,
90,90,Glacis,,,,,,,,,,,
91,91,Zollamt,"03., Hintere Zollamtsstraße 2A",16.3867689100923,48.2110223126289,,,,,,,16.3867689100923,48.2110223126289
92,92,Ravelin,,,,,,,,,,,
93,93,Donaukanal,"02., Schüttelstraße 17A",16.3950020299091,48.2113512330379,,,,,,,,
94,94,Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",16.3330615633398,48.2762075206991,,,,,,,,
95,95,Praters,"02., Meiereistraße 20",16.4141951988236,48.2055162577246,,,,,,,,
96,96,Leopoldstadt,"02., Heustadlsteg 213",16.4239932517287,48.1976654115296,16.37881416,48.21261937,,,,,,
97,97,Ferdinandsbrücke,,16.378889,48.211944,,,,,16.378889,48.211944,,
98,98,Rothenthurm=Thore,,16.37638772,48.21190983,,,16.37638772,48.21190983,,,,
99,99,Taborstraße,"02., Taborstraße 63",16.3822236734434,48.2220212119013,,,,,,,,
100,100,Tabor,,,,,,,,,,,
101,101,Mähren,,,,,,,,,,,
102,102,Böhmen,,,,,,,,,,,
103,103,Jägerzeile,Leopoldstadt,16.385278,48.215278,,,,,16.385278,48.215278,,
104,104,Donau,"02., Kafkasteg R RESTAURANT",16.4162584112263,48.2203084222321,,,,,,,,
105,105,Kornspeicher,,,,,,,,,,,
106,106,Franzensbrücke,"02., Franzensbrücke 202",16.3913111006681,48.2131740152539,,,,,,,,
109,109,Erdberg,"03., Gestettengasse 36A",16.4069369983908,48.194841093632,,,,,,,,
110,110,Rothenthurm=Thore,,16.37638772,48.21190983,,,,,,,,
111,111,Laurenzer=Gasse,"05., Hauslabgasse 21/5",16.3641556968336,48.1845641139818,,,,,,,,
112,112,Laurenzerhof,,16.37879712,48.21080605,,,16.37879712,48.21080605,,,,
113,113,Staats=Buchhaltungen,,16.3783624420856,48.2108044954658,,,,,,,16.3783624420856,"48.21080449546587,"
114,114,Müllerische Palais,"01., Rothenturmstraße 26",16.3763882965999,48.2118492596891,,,,,,,16.3763882965999,48.2118492596891
115,115,Leopoldstadt,"02., Heustadlsteg 213",16.4239932517287,48.1976654115296,16.37881416,48.21261937,,,,,,
116,116,Dianabad,"02., Obere Donaustraße 93",16.3764218926837,48.2135883058372,,,,,,,,
117,117,Karls=Kettenbrücke,s. Salztorbrücke,,,,,,,,,,
118,118,Schanzl,"01., Franz-Josefs-Kai 31/1",16.3749371812675,48.2136340235486,,,,,,,,
119,119,Fischmarkt,"01., Fleischmarkt 3-5",16.376415950128,48.2107148854791,,,,,,,,
121,121,Ravelin,,,,,,,,,,,
122,122,Fischerthore,"01., Morzinplatz 3",16.3739870831074,48.212963261662,,,,,,,16.3739870831074,48.212963261662
123,123,Salzgries,"01., Salztorgasse 2",16.3728561894804,48.2129740280833,,,,,,,,
124,124,Polizeihaus,"01., Salzgries 10-16",16.3716537100925,48.2134726054448,,,,,,,,
125,125,Grenadierkaserne,Gumpendorferstraße 6-12,16.361861,48.200944,,,,,,,,
126,126,Stabsstockhaus,,,,,,,,,,,
127,127,Elendbastei,"01., Schottenring 7",16.363333,48.214722,,,,,16.363333,48.214722,,
128,128,Observatorium,"01., Dr.-Ignaz-Seipel-Platz",16.377647,48.208936,,,,,16.377647,48.208936,,
129,129,Thore,,,,,,,,,,,
130,130,Glacis,,,,,,,,,,,
131,131,Augartenbrücke,"02., Augartenbrücke 201",16.3703252108137,48.2187980017337,,,,,,,,
132,132,Leopoldstadt,"02., Heustadlsteg 213",16.4239932517287,48.1976654115296,16.37881416,48.21261937,,,,,,
133,133,Augartens,"02., Obere Augartenstraße 1 Obj. 44 WC-ANLAGE",16.3757991931892,48.22563596577,,,,,,,,
134,134,Brigittenau,"20., Leithastraße 16",16.3758059042119,48.2384626717794,,,,,,,,
135,135,Roßau,,16.363889,48.221667,,,,,16.363889,48.221667,,
136,136,Lichtenthal,,16.357778,48.228056,,,,,16.357778,48.228056,,
137,137,Servitenkirche,"09., Servitengasse 9",16.3638355586032,48.22043322564,,,,,,,,
138,138,Döbling,"19., Cobenzlgasse 63",16.3331726214989,48.2609654182359,,,,,,,,
139,139,Kahlengebirge,"19., Am Kahlenberg K Stephanie-Warte",16.3330615633398,48.2762075206991,,,,,,,,
140,140,Leopoldsberg,"19., Am Leopoldsberg 1",16.3465974095477,48.2790007290956,,,,,,,,
141,141,Herzogsburg der Babenberge,"01., Am Hof 2",16.3681815576716,48.2107974672164,,,,,,,16.3681815576716,48.2107974672164
142,142,Kahlenberg,"19., Villenweg 58",16.3330615633398,48.2762075206991,,,,,,,,
143,143,Josephsberg,,15.249119424881,47.9380447695676,,,,,,,15.249119424881,47.9380447695676
144,144,Bastei,,,,,,,,,,,
145,145,Arsenales,,16.36726977,48.21374354,16.36726977,48.21374354,,,,,,
146,146,Proviantbäckerei,,,,,,,,,,,
147,147,Schottenthore,"01., Freyung 6 Konvent",16.3652526906358,48.2122375836657,16.36359523,48.2128214,,,,,,
148,148,Schottengasse,"01., Schottengasse 4",16.363197754961,48.2132486749223,,,,,,,,
149,149,Freiung,"01., Freyung Tiefgarage",16.3647892781553,48.2115772779088,16.36607743,48.2113306,,,,,,
150,150,Herrngasse,"01., Herrengasse 10",16.3656068251942,48.2098405410723,16.36549175,48.21000871,,,,,,
151,151,Währingergasse,,16.35822875,48.21860117,16.35822875,48.21860117,,,,,,
152,152,Gewehrfabrik,"09., Schwarzspanierstraße 17",16.3583315441385,48.2170208900507,,,,,,,,
153,153,Döbling,"19., Cobenzlgasse 63",16.3331726214989,48.2609654182359,,,,,,,,
156,156,Jnfanterie=Kaserne,,,,,,,,,,,
157,157,Alsergasse,"21., Kalsergasse 22",16.4163907694748,48.2627879575126,16.35517063,48.21484394,,,,,,
158,158,Dornbach,,,,,,,,,,,
159,159,Kriminale,,,,,,,,,,,
160,160,Ravelin,,,,,,,,,,,
161,161,Mölkerbastei,"01., Mölker Bastei 8",16.3620532425105,48.2123940370492,,,,,,,,
162,162,Teinfaltstraße,"01., Teinfaltstraße 7",16.3627143666587,48.2114410456447,,,,,,,,
163,163,Palais Lubomirski,"01., Mölker Bastei ",16.361944,48.211667,,,,,16.361944,48.211667,,
164,164,Franzensthor,"01., Rosengasse 8",16.3629944980604,48.2115291134222,,,,,,,,
165,165,Josephstadt,"08., Fuhrmannsgasse 3",16.3480816321009,48.2103093789491,,,,,,,,
166,166,geographische Jnstitut,"01., Friedrich-Schmidt-Platz 3",16.356329,48.210981,,,,,,,,
167,167,Kaisergasse,"23., Kaserngasse 22",16.2608425665416,48.150495348647,,,,,,,,
168,168,Josephstädter Theater,,16.351111,48.209583,,,,,16.351111,48.209583,,
169,169,Kavallerie=Kaserne,,,,,,,,,,,
170,170,Lerchenfeld,"07., Lerchenfelder Straße 81",16.3448583188681,48.2072450727103,,,,,,,,
171,171,Löwelbastei,"01., Volksgarten GAERTNERHAUS",16.3622641675697,48.2097230034041,,,,,,,,
172,172,Paradies=Gärtchen,,16.36664806,48.20774753,,,16.36664806,48.20774753,,,,
173,173,Cortis=Kaffehhause,"01., Volksgarten",16.3609691632441,48.2069211592244,,,,,,,16.3609691632441,48.2069211592244
174,174,Volksgarten,"01., Volksgarten THESEUSTEMPEL",16.3617552379407,48.2079640584701,,,,,,,,
175,175,Schenkenstraße,"01., Schenkenstraße 8",16.3626843567342,48.210653381081,,,,,,,,
176,176,Palais Liechtenstein,"(Stadtpalais) 01., Bankgasse 9",16.3626965846566,48.2101289183061,,,,,,,16.3626965846566,48.2101289183061
177,177,Staats=Kanzlei,"01., Ballhausplatz 2",16.3637725296221,48.2083797886037,,,,,,,,
178,178,Ballplatz,"01., Ballhausplatz 1",16.3637,48.2081,,,,,16.3637,48.2081,,
179,179,Bellaria,Hofburg,16.364081,48.208372,,,,,16.364081,48.208372,,
180,180,Burgplatz,,,,,,,,,,,
181,181,Volksgarten,"01., Volksgarten THESEUSTEMPEL",16.3617552379407,48.2079640584701,,,,,,,,
182,182,zweites Kaffehaus von Corti,,,,,,,,,,,
183,183,Volksgarten,"01., Volksgarten THESEUSTEMPEL",16.3617552379407,48.2079640584701,,,,,,,,
184,184,Theseustempel,"01., Volksgarten THESEUSTEMPEL",16.361686238078,48.2083830570045,,,,,,,,
185,185,Hof=Burgwache,,,,,,,,,,,
187,187,Kunstvereine,,,,,,,,,,,
